-----------------------------------New Session-----------------------------------
2021-04-09 15:37:01,503 | INFO | discord.client | logging in using static token
2021-04-09 17:44:38,708 | WARNING | discord.http | We are being rate limited. Retrying in 3.25 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:39,312 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:40,631 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:41,940 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:43,338 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:43,990 | WARNING | discord.http | We are being rate limited. Retrying in 3.20 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:44,811 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:46,130 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:47,407 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:48,686 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:49,195 | WARNING | discord.http | We are being rate limited. Retrying in 3.22 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:49,970 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:51,481 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:52,792 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:54,084 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:54,410 | WARNING | discord.http | We are being rate limited. Retrying in 3.22 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:44:55,353 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:56,770 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:58,045 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:59,326 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:44:59,614 | WARNING | discord.http | We are being rate limited. Retrying in 3.24 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:00,706 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:02,069 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:03,342 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:04,617 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:04,801 | WARNING | discord.http | We are being rate limited. Retrying in 3.28 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:05,927 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:07,250 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:08,531 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:09,881 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:10,081 | WARNING | discord.http | We are being rate limited. Retrying in 3.20 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:11,212 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:12,486 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:13,756 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:15,086 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:15,261 | WARNING | discord.http | We are being rate limited. Retrying in 3.27 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:16,424 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:17,724 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:19,028 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:20,456 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:20,533 | WARNING | discord.http | We are being rate limited. Retrying in 3.21 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:21,786 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:23,282 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:24,572 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:25,672 | WARNING | discord.http | We are being rate limited. Retrying in 3.29 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:25,860 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:27,144 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:28,562 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:28,875 | ERROR | discord | Command not found from: <@430677550600028161>
2021-04-09 17:45:29,839 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:30,964 | WARNING | discord.http | We are being rate limited. Retrying in 3.21 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:31,161 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:32,414 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:33,830 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:35,116 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:36,146 | WARNING | discord.http | We are being rate limited. Retrying in 3.24 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:36,403 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:37,679 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:38,971 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:40,354 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:41,343 | WARNING | discord.http | We are being rate limited. Retrying in 3.27 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:45:41,624 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:42,891 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:44,223 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:45,677 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:46,955 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:48,332 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:49,598 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:50,928 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:52,260 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:53,578 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:54,872 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:56,395 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:57,666 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:45:58,947 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:00,238 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:01,570 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:02,904 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:04,190 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:05,492 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:06,786 | WARNING | discord | Command to test def sended
2021-04-09 17:46:07,327 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:08,656 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:10,022 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:11,294 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:12,306 | WARNING | discord.http | We are being rate limited. Retrying in 3.78 seconds. Handled under the bucket "825342080742064198:None:/channels/{channel_id}/messages/{message_id}"
2021-04-09 17:46:12,665 | INFO | discord | Spam to id: <@!430677550600028161>
2021-04-09 17:46:13,967 | INFO | discord | Spam to id: <@!430677550600028161>
